	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
SLC44A2	0.0	22208.0	0.0	0.0	0.0	21114.0	0.0	50439.0	0.0	0.0	0.0	206560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51343.0	0.0	0.0	6361.1	617640.0	539010.0	239990.0	0.0	67726.0	0.0	0.0	0.0	0.0	0.0	21251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27090.0	0.0	0.0	86686.0	0.0	69771.0	39066.0	36420.0	138900.0	1412000.0	2953700.0	2506900.0	1081500.0	251690.0	104200.0	142190.0	0.0	39383.0	0.0	0.0	24268.0	5475.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24113.0	0.0	5955.1	0.0	0.0	0.0	22690.0	10528.0	16940.0	0.0	13699.0	26508.0	0.0	25259.0	8233.6
MRPL53	181160.0	43256.0	57233.0	163140.0	104030.0	105210.0	103610.0	81124.0	96298.0	53320.0	107740.0	15374.0	13643.0	0.0	61358.0	116760.0	89229.0	139910.0	174010.0	42013.0	0.0	111370.0	0.0	815360.0	13588000.0	17094000.0	8484600.0	6426300.0	3166300.0	2342300.0	241000.0	201550.0	83631.0	0.0	0.0	20684.0	10255.0	0.0	0.0	0.0	125450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33396.0	187090.0	1026500.0	1106500.0	43937.0	26242.0	82385.0	0.0	0.0	0.0
MRPL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171260.0	241930.0	223740.0	1391500.0	3065400.0	1417200.0	535520.0	476500.0	428730.0	265780.0	148170.0	0.0	0.0	0.0	120840.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75861.0	224870.0	259390.0	0.0	103510.0	0.0	0.0	0.0	0.0	0.0
MRPL12	863100.0	654220.0	810570.0	1115900.0	1194800.0	945210.0	1013100.0	611270.0	803360.0	809460.0	631170.0	841090.0	616760.0	486600.0	897770.0	1101700.0	660660.0	976730.0	1328100.0	1631800.0	1718100.0	1994400.0	2944200.0	5313400.0	33862000.0	76357000.0	28031000.0	15962000.0	14155000.0	9814400.0	5198400.0	2720600.0	1189200.0	1007300.0	830120.0	443780.0	203920.0	144050.0	0.0	132670.0	134510.0	91627.0	70257.0	42514.0	45588.0	39417.0	34044.0	22774.0	51787.0	61057.0	38560.0	163120.0	966560.0	742520.0	663940.0	450950.0	99770.0	16236.0	0.0	0.0
EBF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141200.0	56723.0	162830.0	396720.0	662280.0	484950.0	1533700.0	1323200.0	1632500.0	1374200.0	1758500.0	2141200.0	2377300.0	5504000.0	7041000.0	2929600.0	2591200.0	2163200.0	1487600.0	1174700.0	831080.0	506900.0	267390.0	461500.0	619760.0	417850.0	393350.0	257880.0	272740.0	124310.0	191150.0	100120.0	65324.0	30368.0	64960.0	19883.0	11424.0	0.0	56238.0	23108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STX18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172890.0	119680.0	127890.0	182830.0	0.0	115820.0	180850.0	262890.0	168980.0	147700.0	0.0	121620.0	76290.0	0.0	0.0	58745.0	86274.0	69118.0	32251.0	51201.0	37501.0	44341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTX3	114310.0	112690.0	73210.0	0.0	48514.0	28100.0	0.0	28128.0	32202.0	0.0	81206.0	126550.0	39882.0	159000.0	0.0	0.0	47382.0	0.0	142260.0	0.0	0.0	0.0	52511.0	663230.0	3297000.0	3121900.0	1391300.0	908270.0	278360.0	318410.0	626400.0	279220.0	264000.0	243120.0	89349.0	210040.0	143560.0	62558.0	279180.0	114420.0	69053.0	33926.0	20172.0	19999.0	19823.0	26998.0	0.0	0.0	30677.0	79211.0	151490.0	296900.0	256940.0	80257.0	19436.0	7753.3	0.0	0.0	0.0	25590.0
RMND1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7266.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6043.7	0.0	0.0	0.0	0.0	0.0	34483.0	33726.0	246030.0	797110.0	289140.0	309340.0	194580.0	165720.0	19164.0	144430.0	108740.0	58261.0	54263.0	19272.0	11074.0	0.0	14841.0	0.0	2368.1	34953.0	0.0	0.0	0.0	37488.0	139750.0	25778.0	20510.0	109560.0	44607.0	48376.0	17058.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YIPF6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101840.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
